Date,Price
1959-07-01,1.964
1959-07-02,1.971
1959-07-06,1.97
1959-07-07,1.971
1959-07-08,1.964
1959-07-09,1.955
1959-07-10,1.956
1959-07-13,1.961
1959-07-14,1.955
1959-07-15,1.953
1959-07-16,1.951
1959-07-17,1.944
1959-07-20,1.954
1959-07-21,1.947
1959-07-22,1.945
1959-07-23,1.942
1959-07-24,1.944
1959-07-27,1.953
1959-07-28,1.945
1959-07-29,1.945
1959-07-30,1.95
1959-07-31,1.962
1959-08-03,1.956
1959-08-04,1.967
1959-08-05,1.956
1959-08-06,1.953
1959-08-07,1.953
1959-08-10,1.955
1959-08-11,1.96
1959-08-12,1.954
1959-08-13,1.951
1959-08-14,1.954
1959-08-17,1.955
1959-08-18,1.952
1959-08-19,1.955
1959-08-20,1.953
1959-08-21,1.953
1959-08-24,1.971
1959-08-25,1.967
1959-08-26,1.97
1959-08-27,1.964
1959-08-28,1.964
1959-08-31,1.972
1959-09-01,1.977
1959-09-02,1.983
1959-09-03,1.982
1959-09-04,1.981
1959-09-08,1.975
1959-09-09,1.967
1959-09-10,1.966
1959-09-11,1.966
1959-09-14,1.966
1959-09-15,1.967
1959-09-16,1.957
1959-09-17,1.957
1959-09-18,1.961
1959-09-21,1.96
1959-09-22,1.942
1959-09-23,1.953
1959-09-24,1.953
1959-09-25,1.946
1959-09-28,1.946
1959-09-29,1.952
1959-09-30,1.964
1959-10-01,1.96
1959-10-02,1.963
1959-10-05,1.957
1959-10-06,1.966
1959-10-07,1.97
1959-10-08,1.97
1959-10-09,1.966
1959-10-12,1.974
1959-10-13,1.973
1959-10-14,1.967
1959-10-15,1.965
1959-10-16,1.976
1959-10-19,1.975
1959-10-20,1.981
1959-10-21,2
1959-10-22,2.003
1959-10-23,2.007
1959-10-26,2.003
1959-10-27,2.003
1959-10-28,2.011
1959-10-29,1.996
1959-10-30,2.003
1959-11-02,2.005
1959-11-03,2.004
1959-11-04,2
1959-11-05,1.996
1959-11-06,1.997
1959-11-09,2.01
1959-11-10,2.02
1959-11-11,2.014
1959-11-12,2.015
1959-11-13,2.026
1959-11-16,2.02
1959-11-17,2.01
1959-11-18,2.005
1959-11-19,1.994
1959-11-20,1.983
1959-11-23,1.977
1959-11-24,1.995
1959-11-25,2.0084
1959-11-27,2.0124
1959-11-30,2.022
1959-12-01,2.032
1959-12-02,2.036
1959-12-03,2.031
1959-12-04,2.03
1959-12-07,2.026
1959-12-08,2.017
1959-12-09,2.016
1959-12-10,2.016
1959-12-11,2.012
1959-12-14,2.016
1959-12-15,2.024
1959-12-16,2.023
1959-12-17,2.006
1959-12-18,2.012
1959-12-21,2.014
1959-12-22,2.013
1959-12-23,2.025
1959-12-24,2.031
1959-12-28,2.033
1959-12-29,2.036
1959-12-30,2.041
1959-12-31,2.042
1960-01-04,2.047
1960-01-05,2.037
1960-01-06,2.037
1960-01-07,2.034
1960-01-08,2.042
1960-01-11,2.045
1960-01-12,2.043
1960-01-13,2.034
1960-01-14,2.023
1960-01-15,2.026
1960-01-18,2.026
1960-01-19,2.021
1960-01-20,2.016
1960-01-21,2.022
1960-01-22,2.022
1960-01-25,2.023
1960-01-26,2.031
1960-01-27,2.021
1960-01-28,2.02
1960-01-29,2.005
1960-02-01,1.995
1960-02-02,1.991
1960-02-03,1.991
1960-02-04,1.984
1960-02-05,1.986
1960-02-08,1.985
1960-02-09,1.99
1960-02-10,1.982
1960-02-11,1.991
1960-02-12,2.001
1960-02-15,1.995
1960-02-16,2.002
1960-02-17,1.997
1960-02-18,1.995
1960-02-19,1.997
1960-02-23,1.995
1960-02-24,1.9958
1960-02-25,1.984
1960-02-26,1.9846
1960-02-29,1.996
1960-03-01,2.001
1960-03-02,2.001
1960-03-03,2.005
1960-03-04,2
1960-03-07,2.01
1960-03-08,2.017
1960-03-09,2.016
1960-03-10,2.005
1960-03-11,2.017
1960-03-14,2.034
1960-03-15,2.042
1960-03-16,2.046
1960-03-17,2.042
1960-03-18,2.041
1960-03-21,2.051
1960-03-22,2.055
1960-03-23,2.071
1960-03-24,2.083
1960-03-25,2.076
1960-03-28,2.063
1960-03-29,2.063
1960-03-30,2.074
1960-03-31,2.075
1960-04-01,2.082
1960-04-04,2.08
1960-04-05,2.077
1960-04-06,2.083
1960-04-07,2.087
1960-04-08,2.075
1960-04-11,2.063
1960-04-12,2.072
1960-04-13,2.057
1960-04-14,2.057
1960-04-18,2.064
1960-04-19,2.072
1960-04-20,2.08
1960-04-21,2.084
1960-04-22,2.087
1960-04-25,2.081
1960-04-26,2.0362
1960-04-27,1.9982
1960-04-28,1.9452
1960-04-29,1.9006
1960-05-02,1.846
1960-05-03,1.852
1960-05-04,1.855
1960-05-05,1.856
1960-05-06,1.853
1960-05-09,1.855
1960-05-10,1.854
1960-05-11,1.851
1960-05-12,1.851
1960-05-13,1.85
1960-05-16,1.854
1960-05-17,1.856
1960-05-18,1.856
1960-05-19,1.856
1960-05-20,1.86
1960-05-23,1.86
1960-05-24,1.85
1960-05-25,1.846
1960-05-26,1.845
1960-05-27,1.845
1960-05-31,1.845
1960-06-01,1.846
1960-06-02,1.845
1960-06-03,1.85
1960-06-06,1.843
1960-06-07,1.842
1960-06-08,1.846
1960-06-09,1.852
1960-06-10,1.85
1960-06-13,1.844
1960-06-14,1.841
1960-06-15,1.842
1960-06-16,1.842
1960-06-17,1.835
1960-06-20,1.825
1960-06-21,1.825
1960-06-22,1.821
1960-06-23,1.821
1960-06-24,1.817
1960-06-27,1.8288
1960-06-28,1.835
1960-06-29,1.8408
1960-06-30,1.8524
1960-07-01,1.86
1960-07-05,1.866
1960-07-06,1.86
1960-07-07,1.851
1960-07-08,1.847
1960-07-11,1.85
1960-07-12,1.853
1960-07-13,1.855
1960-07-14,1.855
1960-07-15,1.846
1960-07-18,1.837
1960-07-19,1.83
1960-07-20,1.832
1960-07-21,1.842
1960-07-22,1.836
1960-07-25,1.831
1960-07-26,1.835
1960-07-27,1.841
1960-07-28,1.842
1960-07-29,1.84
1960-08-01,1.847
1960-08-02,1.847
1960-08-03,1.852
1960-08-04,1.861
1960-08-05,1.863
1960-08-08,1.862
1960-08-09,1.857
1960-08-10,1.856
1960-08-11,1.854
1960-08-12,1.856
1960-08-15,1.856
1960-08-16,1.85
1960-08-17,1.85
1960-08-18,1.852
1960-08-19,1.856
1960-08-22,1.857
1960-08-23,1.857
1960-08-24,1.86
1960-08-25,1.86
1960-08-26,1.875
1960-08-29,1.887
1960-08-30,1.8906
1960-08-31,1.9012
1960-09-01,1.923
1960-09-02,1.922
1960-09-06,1.922
1960-09-07,1.92
1960-09-08,1.924
1960-09-09,1.93
1960-09-12,1.926
1960-09-13,1.932
1960-09-14,1.931
1960-09-15,1.933
1960-09-16,1.932
1960-09-19,1.927
1960-09-20,1.93
1960-09-21,1.933
1960-09-22,1.934
1960-09-23,1.937
1960-09-26,1.944
1960-09-27,1.947
1960-09-28,1.95
1960-09-29,1.951
1960-09-30,1.945
1960-10-03,1.952
1960-10-04,1.961
1960-10-05,1.96
1960-10-06,1.957
1960-10-07,1.96
1960-10-10,1.953
1960-10-11,1.956
1960-10-12,1.96
1960-10-13,1.957
1960-10-14,1.953
1960-10-17,1.951
1960-10-18,1.947
1960-10-19,1.956
1960-10-20,1.96
1960-10-21,1.965
1960-10-24,1.966
1960-10-25,1.964
1960-10-26,1.975
1960-10-27,1.98
1960-10-28,1.983
1960-10-31,1.992
1960-11-01,1.995
1960-11-02,1.997
1960-11-03,2.012
1960-11-04,2.002
1960-11-07,2
1960-11-09,2.005
1960-11-10,1.987
1960-11-11,1.997
1960-11-14,2.002
1960-11-15,1.996
1960-11-16,1.991
1960-11-17,1.987
1960-11-18,2.004
1960-11-21,2.01
1960-11-22,2.017
1960-11-23,2.036
1960-11-25,2.0304
1960-11-28,2.0252
1960-11-29,2.0386
1960-11-30,2.0516
1960-12-01,2.047
1960-12-02,2.046
1960-12-05,2.051
1960-12-06,2.05
1960-12-07,2.055
1960-12-08,2.061
1960-12-09,2.066
1960-12-12,2.066
1960-12-13,2.053
1960-12-14,2.057
1960-12-15,2.056
1960-12-16,2.057
1960-12-19,2.052
1960-12-20,2.063
1960-12-21,2.075
1960-12-22,2.077
1960-12-23,2.081
1960-12-27,2.07
1960-12-28,2.077
1960-12-29,2.083
1960-12-30,2.085
1961-01-03,2.084
1961-01-04,2.097
1961-01-05,2.105
1961-01-06,2.122
1961-01-09,2.107
1961-01-10,2.106
1961-01-11,2.095
1961-01-12,2.087
1961-01-13,2.096
1961-01-16,2.105
1961-01-17,2.112
1961-01-18,2.106
1961-01-19,2.111
1961-01-20,2.11
1961-01-23,2.117
1961-01-24,2.125
1961-01-25,2.137
1961-01-26,2.145
1961-01-27,2.151
1961-01-30,2.153
1961-01-31,2.132
1961-02-01,2.141
1961-02-02,2.144
1961-02-03,2.141
1961-02-06,2.136
1961-02-07,2.113
1961-02-08,2.107
1961-02-09,2.11
1961-02-10,2.104
1961-02-13,2.09
1961-02-14,2.086
1961-02-15,2.102
1961-02-16,2.114
1961-02-17,2.104
1961-02-20,2.113
1961-02-21,2.121
1961-02-23,2.1206
1961-02-24,2.1072
1961-02-27,2.1068
1961-02-28,2.1144
1961-03-01,2.103
1961-03-02,2.104
1961-03-03,2.106
1961-03-06,2.102
1961-03-07,2.085
1961-03-08,2.095
1961-03-09,2.084
1961-03-10,2.083
1961-03-13,2.076
1961-03-14,2.081
1961-03-15,2.081
1961-03-16,2.08
1961-03-17,2.062
1961-03-20,2.055
1961-03-21,2.06
1961-03-22,2.053
1961-03-23,2.053
1961-03-24,2.06
1961-03-27,2.047
1961-03-28,2.03
1961-03-29,1.994
1961-03-30,1.992
1961-04-03,1.963
1961-04-04,1.971
1961-04-05,1.964
1961-04-06,1.974
1961-04-07,1.987
1961-04-10,1.961
1961-04-11,1.951
1961-04-12,1.926
1961-04-13,1.922
1961-04-14,1.917
1961-04-17,1.895
1961-04-18,1.89
1961-04-19,1.916
1961-04-20,1.916
1961-04-21,1.914
1961-04-24,1.897
1961-04-25,1.8946
1961-04-26,1.8906
1961-04-27,1.8904
1961-04-28,1.8864
1961-05-01,1.885
1961-05-02,1.887
1961-05-03,1.88
1961-05-04,1.875
1961-05-05,1.874
1961-05-08,1.865
1961-05-09,1.867
1961-05-10,1.866
1961-05-11,1.872
1961-05-12,1.875
1961-05-15,1.886
1961-05-16,1.876
1961-05-17,1.876
1961-05-18,1.876
1961-05-19,1.872
1961-05-22,1.862
1961-05-23,1.863
1961-05-24,1.856
1961-05-25,1.85
1961-05-26,1.855
1961-05-29,1.855
1961-05-31,1.857
1961-06-01,1.857
1961-06-02,1.865
1961-06-05,1.875
1961-06-06,1.871
1961-06-07,1.87
1961-06-08,1.876
1961-06-09,1.871
1961-06-12,1.872
1961-06-13,1.87
1961-06-14,1.871
1961-06-15,1.877
1961-06-16,1.875
1961-06-19,1.882
1961-06-20,1.9
1961-06-21,1.894
1961-06-22,1.89
1961-06-23,1.884
1961-06-26,1.885
1961-06-27,1.9062
1961-06-28,1.9226
1961-06-29,1.95
1961-06-30,1.95
1961-07-03,1.957
1961-07-05,1.955
1961-07-06,1.947
1961-07-07,1.931
1961-07-10,1.922
1961-07-11,1.935
1961-07-12,1.937
1961-07-13,1.931
1961-07-14,1.926
1961-07-17,1.944
1961-07-18,1.953
1961-07-19,1.967
1961-07-20,1.97
1961-07-21,1.964
1961-07-24,1.973
1961-07-25,1.973
1961-07-26,1.951
1961-07-27,1.946
1961-07-28,1.955
1961-07-31,1.963
1961-08-01,1.974
1961-08-02,1.974
1961-08-03,1.964
1961-08-04,1.973
1961-08-07,1.984
1961-08-08,1.983
1961-08-09,1.977
1961-08-10,1.983
1961-08-11,1.985
1961-08-14,2.002
1961-08-15,2.004
1961-08-16,1.995
1961-08-17,1.985
1961-08-18,1.993
1961-08-21,1.99
1961-08-22,1.986
1961-08-23,1.982
1961-08-24,1.977
1961-08-25,1.985
1961-08-28,1.9968
1961-08-29,1.9976
1961-08-30,2.0128
1961-08-31,2.0184
1961-09-01,2.032
1961-09-05,2.041
1961-09-06,2.04
1961-09-07,2.043
1961-09-08,2.053
